country,avg_work_week,time
AUS,36.1425558884001,2010
AUS,36.2231217640073,2011
AUS,36.3729486682018,2012
AUS,36.2077705136048,2013
AUS,35.9979186144776,2014
AUS,35.997183083902,2015
AUS,35.8043231198076,2016
AUS,35.8265505359542,2017
AUS,35.7906111817054,2018
AUT,36.7295007413186,2010
AUT,36.5691507176292,2011
AUT,36.4467361233062,2012
AUT,36.1907284936834,2013
AUT,35.886835930093,2014
AUT,35.7957548589114,2015
AUT,35.6595993906576,2016
AUT,35.5520820084362,2017
AUT,35.6245627502084,2018
AUT,35.6320098837702,2019
AUT,35.505965780376,2020
AUT,35.1926431354966,2021
BEL,35.2552608724918,2010
BEL,35.1159570122246,2011
BEL,35.1307501905082,2012
BEL,35.2435663062078,2013
BEL,35.3012415334122,2014
BEL,35.1534690400602,2015
BEL,35.2031932476408,2016
BEL,35.6571405544588,2017
BEL,35.5771381374077,2018
BEL,35.4816706093098,2019
BEL,35.4932771537989,2020
BEL,35.2796553256944,2021
CAN,0,2010
CAN,0,2011
CAN,0,2012
CAN,0,2013
CAN,0,2014
CAN,0,2015
CAN,0,2016
CAN,0,2017
CAN,0,2018
CAN,0,2019
CAN,0,2020
CAN,0,2021
DNK,32.7355995201663,2010
DNK,32.6857467788534,2011
DNK,32.6374655172932,2012
DNK,32.6658004845197,2013
DNK,32.6011423559003,2014
DNK,32.5452174201215,2015
DNK,32.5132065268437,2016
DNK,32.5380089807388,2017
DNK,32.6807134128912,2018
DNK,32.6210841443568,2019
DNK,32.7034930545036,2020
DNK,33.7188945162481,2021
FIN,36.5742844248082,2010
FIN,36.511765813253,2011
FIN,36.382960558809,2012
FIN,36.3354199396525,2013
FIN,36.2505743595221,2014
FIN,36.294174836324,2015
FIN,36.2576101318214,2016
FIN,36.3971903273864,2017
FIN,36.4501710931273,2018
FIN,36.2918364669653,2019
FIN,36.3972638626873,2020
FIN,35.3010058474452,2021
FRA,36.4659321349667,2010
FRA,36.5786002511815,2011
FRA,36.4919043129887,2012
FRA,36.2510667259612,2013
FRA,36.0830924223384,2014
FRA,36.0768590066195,2015
FRA,36.1408737846298,2016
FRA,36.1368882915109,2017
FRA,36.2286229175869,2018
FRA,36.3703173987756,2019
FRA,36.4968776426847,2020
FRA,36.1002850878762,2021
DEU,34.7144228556141,2010
DEU,34.664998502561,2011
DEU,34.7341569841934,2012
DEU,34.558343955149,2013
DEU,34.5993593921376,2014
DEU,34.5397433078661,2015
DEU,34.5823555509677,2016
DEU,34.4846326167539,2017
DEU,34.4772753517543,2018
DEU,34.4318151425431,2019
DEU,34.4687263715492,2020
DEU,34.5675459621567,2021
IRL,34.008619822854,2010
IRL,33.8839018484641,2011
IRL,34.149759829742,2012
IRL,34.3815101085588,2013
IRL,34.5694157057015,2014
IRL,34.6533876219677,2015
IRL,34.7698819357154,2016
IRL,35.0595811762634,2017
IRL,35.3039410978984,2018
IRL,35.4107766331086,2019
IRL,35.5907248935182,2020
IRL,35.3874406053624,2021
ITA,36.2792840317779,2010
ITA,36.0381178086722,2011
ITA,35.6849939443583,2012
ITA,35.49743936368,2013
ITA,35.4448062976936,2014
ITA,35.5066862549695,2015
ITA,35.4806597720404,2016
ITA,35.5922901805728,2017
ITA,35.729866254888,2018
ITA,35.6247320494399,2019
ITA,35.5534895075158,2020
ITA,36.0032254356773,2021
LUX,36.792250597965,2010
LUX,36.6551766310918,2011
LUX,36.8342487357825,2012
LUX,36.9415812158202,2013
LUX,36.9617771701109,2014
LUX,37.1838721748752,2015
LUX,37.243191356929,2016
LUX,37.1596796879785,2017
LUX,37.3751133086201,2018
LUX,37.6410343513307,2019
LUX,37.2723981107824,2020
LUX,38.0463847215322,2021
NLD,29.3873534106659,2010
NLD,29.3983883701647,2011
NLD,29.241607379866,2012
NLD,29.0490555308158,2013
NLD,29.0879139564696,2014
NLD,29.088726168274,2015
NLD,29.2312665582479,2016
NLD,29.2936281932383,2017
NLD,29.3715942208655,2018
NLD,29.4589326111212,2019
NLD,29.5616525889966,2020
NLD,30.3025650984029,2021
NZL,37.0638318782535,2010
NZL,37.1094748087425,2011
NZL,37.0134153366109,2012
NZL,37.3417812150117,2013
NZL,37.378638454673,2014
NZL,37.4860963464952,2015
NZL,37.6723065319288,2016
NZL,37.802142048762,2017
NZL,37.971972956431,2018
NZL,38.0275780684802,2019
NZL,37.9142846254107,2020
NZL,37.8031647539065,2021
NOR,33.5375192152708,2010
NOR,33.6017030234747,2011
NOR,33.7505638058563,2012
NOR,33.706425664857,2013
NOR,33.805424294388,2014
NOR,33.7397430081576,2015
NOR,33.8306477628728,2016
NOR,33.9182563606545,2017
NOR,33.903178894292,2018
NOR,33.5445470761637,2019
NOR,33.6371171046158,2020
NOR,34.0859649384483,2021
POL,39.7339621528962,2010
POL,39.7872659066387,2011
POL,39.8315958559546,2012
POL,39.8493800347039,2013
POL,39.9370030877761,2014
POL,39.9592662999772,2015
POL,39.9383703158839,2016
POL,39.8126239905012,2017
POL,39.7996633208,2018
POL,39.7313842622552,2019
POL,39.6050309852429,2020
POL,39.581130541546,2021
PRT,39.1238222719571,2010
PRT,39.4666977159488,2011
PRT,39.4613970247828,2012
PRT,39.5989792034754,2013
PRT,39.9260106989838,2014
PRT,39.6509168383075,2015
PRT,39.6115910341595,2016
PRT,39.536591613592,2017
PRT,39.4997689555378,2018
PRT,39.5546135307003,2019
PRT,39.3072038311191,2020
PRT,39.5944425828173,2021
ESP,37.3971180343888,2010
ESP,37.1890007282822,2011
ESP,36.8823493586222,2012
ESP,36.5780576974424,2013
ESP,36.5037366030092,2014
ESP,36.5001225075573,2015
ESP,36.4567636589577,2016
ESP,36.4448482916109,2017
ESP,36.5269280714782,2018
ESP,36.4105531629779,2019
ESP,36.443798872163,2020
ESP,36.3367118572722,2021
SWE,35.817042978212,2010
SWE,35.8631447661578,2011
SWE,35.9171949510988,2012
SWE,35.928298889652,2013
SWE,35.9732581733802,2014
SWE,35.9907959082192,2015
SWE,36.0797174427847,2016
SWE,36.0857337510959,2017
SWE,36.158473861201,2018
SWE,36.121506697917,2019
SWE,36.1363498570404,2020
SWE,37.9616533972125,2021
CHE,34.6750757474227,2010
CHE,34.8416583474592,2011
CHE,34.7770915320912,2012
CHE,34.7473343414597,2013
CHE,34.6240445033172,2014
CHE,34.7257826881886,2015
CHE,34.8390956251825,2016
CHE,34.8486498622203,2017
CHE,34.8378045355479,2018
CHE,34.6880850758524,2019
CHE,34.7472613475167,2020
CHE,36.0853890081249,2021
GBR,36.1956635139932,2010
GBR,36.2717870057535,2011
GBR,36.2713131114404,2012
GBR,36.4391596763066,2013
GBR,36.6565734039094,2014
GBR,36.7123123162395,2015
GBR,36.6901351176754,2016
GBR,36.617426578447,2017
GBR,36.6909985772868,2018
GBR,36.6434218901635,2019
GBR,36.6070257535523,2020
GBR,36.7694990070764,2021
ISR,40.6443364923498,2010
ISR,40.7129429130322,2011
ISR,40.9942011429374,2012
ISR,40.664611619795,2013
ISR,40.5500924050417,2014
ISR,40.6355636389845,2015
ISR,40.7430479633818,2016
ISR,40.8479876976794,2017
ISR,40.737324550467,2018
ISR,40.6862953283021,2019
ISR,40.755208971553,2020
ISR,40.7287087727681,2021
